,ic_mean,icir,t-stat
vol30,0.0063581155002246075,0.05494364419815682,3.4965921056055835
vol31,0.007318924205044775,0.06285904067439997,4.000324852777431
vol32,0.007748973604170865,0.0665443426071224,4.234856031638744
vol33,0.00891342224318341,0.07666764417854406,4.879098998662125
vol34,0.008015581946107185,0.06861500614335633,4.36663225216115
vol35,0.007798787860830351,0.06706075479089915,4.267720301771974
vol36,0.0068833168852634585,0.05932833843554197,3.7756323381871995
vol37,0.006608328782041989,0.05598755518822027,3.563026194208196
vol38,0.006331028859802977,0.05383779371328909,3.4262162116910275
vol39,0.007112405261899665,0.060627756046565055,3.8583267685784874
vol40,0.008584188851817491,0.0735512910203258,4.680775498094784
vol41,0.007803234450384531,0.06717886662561146,4.275236892905685
vol42,0.006006399236995621,0.05172364850846484,3.2916728347240447
vol43,0.006126535254923695,0.05254706223130042,3.344074563166564
vol44,0.007208395823188727,0.06203121743493142,3.9476425044147483
vol45,0.007226145430038172,0.06130521400794793,3.9014399292401256
vol46,0.0067301609025545595,0.05764576252859737,3.6685538631576526
vol47,0.006517062916287269,0.055656148592377386,3.5419356075956556
vol48,0.007751450291268266,0.06635127241286831,4.222569119714557
vol49,0.007965399052602472,0.06833473383076585,4.3487958314081085
vol50,0.006939781545239193,0.05953398686049612,3.7887197238114867
vol51,0.007419483309251367,0.0636435868542128,4.050253065928399
vol52,0.008196459188156141,0.0703646973797425,4.4779819206019695
vol53,0.008381811685571842,0.0719736206928529,4.580373173261823
vol54,0.007396816742710236,0.06339966351539536,4.0347298797013265
vol55,0.007624016021919561,0.06553056640056987,4.170339708915446
vol56,0.006778168642576043,0.05840385314096721,3.716798454306104
vol57,0.006134165150543181,0.05248580882419227,3.340176420208238
vol58,0.005676689331927077,0.048535624443159536,3.0887882255593495
vol59,0.005761238871580185,0.049162834964779904,3.1287036587355876
vol60,0.005900666312659602,0.05060939927280192,3.220762447581819
amount1,0.007474338040994486,0.06676287832371326,4.248763559480701
amount2,0.0038896117205800143,0.03350634334437878,2.1323306332417484
amount3,-0.000132908471531118,-0.001150284603791313,-0.07320366392717867
amount4,0.010428580620412199,0.08699248561922204,5.536167884426261
amount5,0.011469856972214754,0.09515244764195455,6.055464687671158
amount6,0.009191391271229294,0.07596439721478108,4.834344635938817
amount7,0.007317216354202587,0.06068525337530849,3.8619858761734007
amount8,0.004901343349178451,0.04067277967448349,2.588399848578029
amount9,0.00495779366806729,0.04136372337640504,2.6323712365122467
amount10,0.00590794893777669,0.049178453563948205,3.1296976203001963
amount11,0.00610243497331893,0.05043352386671184,3.2095698052756982
amount12,0.006174761023193814,0.051360000822483806,3.2685304376992463
amount13,0.004546852724082455,0.03743172839540376,2.3821406081930743
amount14,0.0050126447906224105,0.04082240978855603,2.5979222507277657
amount15,0.005138895812514809,0.042065512396166085,2.6770328162474235
amount16,0.004597049753477703,0.03769625006355806,2.398974664072116
amount17,0.00577068087374217,0.04710584903866451,2.9977978759910537
amount18,0.0044862653597027985,0.03661784453660804,2.3303453565843286
amount19,0.0056225462510091145,0.04573871740250672,2.910794151427889
amount20,0.005368314032954861,0.04369745695108148,2.7808891317645257
amount21,0.004975416982775291,0.0404224910389838,2.5724715773506106
amount22,0.0060283391868628244,0.04872488476177163,3.1008326784823614
amount23,0.006046249426355157,0.048961010563628636,3.1158596324959196
amount24,0.0065783131340790045,0.053413396033181064,3.3992077087138473
amount25,0.008404666050670589,0.06808960230008655,4.333195756321771
amount26,0.007647820257833727,0.062078761414155935,3.9506681847250307
amount27,0.006320996069652291,0.05162088560902964,3.285133043849993
amount28,0.006910543444939261,0.05682474269643706,3.616304480984825
amount29,0.006791623729096433,0.0553597512018257,3.523072993164997
amount30,0.007748951504173731,0.06338620394622754,4.03387331796459
amount31,0.0088284851094992,0.07205291175136722,4.585419225326487
amount32,0.009137658118398052,0.07432207519838592,4.729827902817169
amount33,0.010200710635771345,0.08273662069733626,5.265326299279115
amount34,0.00933058690075081,0.0752823740101552,4.790940944976238
amount35,0.008965210374408736,0.07257110028923229,4.6183965419416655
amount36,0.008265424461783993,0.06725034906390467,4.2797860074224445
amount37,0.008000129196021135,0.06406749910905937,4.077230676631108
amount38,0.007607492286247448,0.061210467967401753,3.8954103281416557
amount39,0.008403972207027974,0.06769130359753792,4.307848182105876
amount40,0.009781056422481192,0.0791946817265847,5.039918683450056
amount41,0.009195499124042682,0.07445028799729944,4.737987315376368
amount42,0.007500781026109053,0.06062705288889904,3.858282019898638
amount43,0.007445151136501492,0.05998411825443251,3.8173659103084505
amount44,0.008439284043448498,0.06824057808331137,4.34280379633196
amount45,0.008535267541186586,0.06819431991114158,4.339859944281571
amount46,0.008159415429182205,0.06584842922614903,4.190568375266318
amount47,0.007860742296622293,0.06330014149895802,4.028396337358308
amount48,0.008930908199558225,0.07197553758055907,4.580495163248446
amount49,0.00929925372319992,0.07506354044875704,4.777014462406813
amount50,0.008105626907001525,0.06539347438353897,4.161615226375427
amount51,0.00871143217656259,0.07034396049293348,4.476662233206468
amount52,0.009427671657379816,0.07612178167319815,4.844360521540824
amount53,0.009713779960791006,0.07817780548200896,4.975205075515025
amount54,0.008538833902369414,0.06865963589088331,4.369472471901856
amount55,0.00879348625877189,0.07094192267820071,4.51471631365507
amount56,0.008049893782202925,0.0649675351447218,4.134508619202732
amount57,0.007523154857639078,0.06035157115003343,3.840750469390594
amount58,0.00707568420604331,0.056926102307772314,3.6227549671510477
amount59,0.0069498907122512105,0.0557851655504066,3.550146196527602
amount60,0.007160955311098534,0.05765285186845552,3.6690050259835574
